date,sentences_about_victims,total_sentences,pct_coverage
2013-01-01T00:00:00Z,1,2614662,0.0000003825
2013-01-08T00:00:00Z,1,2958867,0.0000003380
2013-01-15T00:00:00Z,0,2912716,0.0000000000
2013-01-22T00:00:00Z,0,2744349,0.0000000000
2013-01-29T00:00:00Z,0,2933863,0.0000000000
2013-02-05T00:00:00Z,0,3053593,0.0000000000
2013-02-12T00:00:00Z,0,2749659,0.0000000000
2013-02-19T00:00:00Z,0,2674704,0.0000000000
2013-02-26T00:00:00Z,0,1774546,0.0000000000
2013-03-05T00:00:00Z,0,2761258,0.0000000000
2013-03-12T00:00:00Z,0,2788894,0.0000000000
2013-03-19T00:00:00Z,1,2275730,0.0000004394
2013-03-26T00:00:00Z,0,1936989,0.0000000000
2013-04-02T00:00:00Z,0,1724808,0.0000000000
2013-04-09T00:00:00Z,0,1817452,0.0000000000
2013-04-16T00:00:00Z,17,1777086,0.0000095662
2013-04-23T00:00:00Z,0,1792668,0.0000000000
2013-04-30T00:00:00Z,0,1332548,0.0000000000
2013-05-07T00:00:00Z,0,0,0
2013-05-14T00:00:00Z,0,1078639,0.0000000000
2013-05-21T00:00:00Z,4,1746999,0.0000022896
2013-05-28T00:00:00Z,4,2116334,0.0000018901
2013-06-04T00:00:00Z,0,304251,0.0000000000
2013-06-11T00:00:00Z,0,0,0
2013-06-18T00:00:00Z,0,0,0
2013-06-25T00:00:00Z,0,0,0
2013-07-02T00:00:00Z,0,1135992,0.0000000000
2013-07-09T00:00:00Z,0,1826355,0.0000000000
2013-07-16T00:00:00Z,3,2532676,0.0000011845
2013-07-23T00:00:00Z,9,1976718,0.0000045530
2013-07-30T00:00:00Z,1,1919206,0.0000005210
2013-08-06T00:00:00Z,0,1917374,0.0000000000
2013-08-13T00:00:00Z,2,1783735,0.0000011212
2013-08-20T00:00:00Z,0,1789094,0.0000000000
2013-08-27T00:00:00Z,1,1708568,0.0000005853
2013-09-03T00:00:00Z,3,1819650,0.0000016487
2013-09-10T00:00:00Z,76,1679309,0.0000452567
2013-09-17T00:00:00Z,77,1879466,0.0000409691
2013-09-24T00:00:00Z,8,1929545,0.0000041461
2013-10-01T00:00:00Z,1,1854890,0.0000005391
2013-10-08T00:00:00Z,17,1864232,0.0000091190
2013-10-15T00:00:00Z,4,1682227,0.0000023778
2013-10-22T00:00:00Z,0,1869066,0.0000000000
2013-10-29T00:00:00Z,0,1785576,0.0000000000
2013-11-05T00:00:00Z,0,1766557,0.0000000000
2013-11-12T00:00:00Z,0,1810787,0.0000000000
2013-11-19T00:00:00Z,1,1762409,0.0000005674
2013-11-26T00:00:00Z,0,1479026,0.0000000000
2013-12-03T00:00:00Z,0,1742991,0.0000000000
2013-12-10T00:00:00Z,0,550635,0.0000000000
2013-12-17T00:00:00Z,0,0,0
2013-12-24T00:00:00Z,0,1158349,0.0000000000
2013-12-31T00:00:00Z,0,1297401,0.0000000000
