,num_stories_about_victims,num_stories_in_mediacloud
2013-01-01,5,98791
2013-01-08,2,112074
2013-01-15,2,110376
2013-01-22,1,108502
2013-01-29,2,112202
2013-02-05,7,113338
2013-02-12,2,105191
2013-02-19,1,102357
2013-02-26,4,107036
2013-03-05,2,107050
2013-03-12,2,106787
2013-03-19,5,83332
2013-03-26,4,75917
2013-04-02,4,71694
2013-04-09,3,85346
2013-04-16,11,84020
2013-04-23,6,84382
2013-04-30,5,79052
2013-05-07,4,80151
2013-05-14,5,85009
2013-05-21,5,80843
2013-05-28,11,88972
2013-06-04,8,92542
2013-06-11,19,100513
2013-06-18,6,91540
2013-06-25,13,93492
2013-07-02,5,78665
2013-07-09,15,85142
2013-07-16,22,95692
2013-07-23,18,88438
2013-07-30,12,89809
2013-08-06,6,84649
2013-08-13,12,80845
2013-08-20,11,78539
2013-08-27,5,74692
2013-09-03,3,78293
2013-09-10,46,69849
2013-09-17,49,84735
2013-09-24,11,88336
2013-10-01,4,79983
2013-10-08,32,83307
2013-10-15,7,73925
2013-10-22,2,83037
2013-10-29,7,86697
2013-11-05,9,84067
2013-11-12,6,86741
2013-11-19,10,83792
2013-11-26,2,70975
2013-12-03,7,84041
2013-12-10,9,83264
2013-12-17,6,79059
2013-12-24,6,52883
2013-12-31,9,58333
2014-01-07,18,83112
2014-01-14,28,76859
2014-01-21,9,83283
2014-01-28,6,88496
2014-02-04,29,84046
2014-02-11,30,75723
2014-02-18,22,79903
2014-02-25,15,87564
2014-03-04,20,87031
2014-03-11,27,88223
2014-03-18,16,82693
2014-03-25,21,85669
2014-04-01,12,83236
2014-04-08,13,90482
2014-04-15,11,84093
2014-04-22,23,90615
2014-04-29,35,86927
2014-05-06,27,114210
2014-05-13,22,106205
2014-05-20,17,98781
2014-05-27,40,105899
2014-06-03,31,100264
2014-06-10,33,101550
2014-06-17,51,104513
2014-06-24,31,104303
2014-07-01,61,94108
2014-07-08,49,105425
2014-07-15,480,102470
2014-07-22,525,102117
2014-07-29,106,99788
2014-08-05,918,100569
2014-08-12,6215,100232
2014-08-19,3761,101888
2014-08-26,114,96213
2014-09-02,34,105746
2014-09-09,56,107928
2014-09-16,63,105789
2014-09-23,40,104636
2014-09-30,68,104823
2014-10-07,408,103244
2014-10-14,123,104628
2014-10-21,25,104056
2014-10-28,71,104207
2014-11-04,5,103268
2014-11-11,20,97274
2014-11-18,292,96479
2014-11-25,683,83830
2014-12-02,437,92153
2014-12-09,25,91221
2014-12-16,2,88135
2014-12-23,11,65515
2014-12-30,5,72041
2015-01-06,19,93914
2015-01-13,8,99324
2015-01-20,2,95271
2015-01-27,7,95858
2015-02-03,1,92167
2015-02-10,11,87223
2015-02-17,10,90339
2015-02-24,66,92111
2015-03-03,229,90851
2015-03-10,182,88303
2015-03-17,22,86098
2015-03-24,16,84986
2015-03-31,43,81808
2015-04-07,1055,85063
2015-04-14,315,85714
2015-04-21,999,87682
2015-04-28,2857,89470
2015-05-05,18,83051
2015-05-12,5,85017
2015-05-19,4,79692
2015-05-26,6,83987
2015-06-02,3,86084
2015-06-09,6,84066
2015-06-16,4,104269
2015-06-23,3,118154
2015-06-30,2,107924
2015-07-07,10,115549
2015-07-14,297,111667
2015-07-21,741,115607
2015-07-28,293,119369
2015-08-04,149,120697
2015-08-11,117,117155
2015-08-18,112,116818
2015-08-25,37,118877
2015-09-01,3,111216
2015-09-08,10,136511
2015-09-15,0,181390
2015-09-22,22,174015
2015-09-29,5,174878
2015-10-06,8,171096
2015-10-13,7,168979
2015-10-20,17,172640
2015-10-27,8,178134
2015-11-03,11,177689
2015-11-10,87,178177
2015-11-17,370,174787
2015-11-24,265,146261
2015-12-01,1,172424
2015-12-08,19,170423
2015-12-15,0,167553
2015-12-22,285,124844
2015-12-29,184,138334
2016-01-05,33,182480
2016-01-12,2,176274
2016-01-19,1,185521
2016-01-26,2,185780
2016-02-02,32,177786
2016-02-09,44,166256
2016-02-16,30,172934
2016-02-23,23,179922
2016-03-01,123,164464
2016-03-08,4,172778
2016-03-15,34,174062
2016-03-22,5,155319
2016-03-29,1,167614
2016-04-05,8,171998
2016-04-12,0,175733
2016-04-19,8,164298
2016-04-26,14,171287
2016-05-03,8,165571
2016-05-10,1,144672
2016-05-17,25,130450
2016-05-24,16,119187
2016-05-31,18,125117
2016-06-07,3,128899
2016-06-14,9,127378
2016-06-21,3,122717
2016-06-28,9,113886
2016-07-05,6,119897
2016-07-12,0,121040
